,0,1,2
0,"20230930-DK-Butterfly-1, Inc.",BBBY,
1,3M Company,MMM,
2,A. O. Smith Corporation,AOS,
3,"AMETEK, Inc.",AME,
4,"ANSYS, Inc.",ANSS,
5,APA Corporation,APA,
6,AT&T Inc.,T,
7,AbbVie Inc.,ABBV,
8,Abbott Laboratories,ABT,
9,"Abiomed, Inc.",ABMD,
10,Accenture plc,ACN,
11,"Activision Blizzard, Inc.",ATVI,
12,Acuity Inc.,AYI,
13,Adobe Inc.,ADBE,
14,"Advance Auto Parts, Inc.",AAP,
15,"Advanced Micro Devices, Inc.",AMD,
16,Aetna Inc.,AET,
17,"Affiliated Managers Group, Inc.",AMG,
18,Aflac Incorporated,AFL,
19,"Agilent Technologies, Inc.",A,
20,"Air Products and Chemicals, Inc.",APD,
21,"Airbnb, Inc.",ABNB,
22,"Airgas, Inc.",ARG,Y
23,"Akamai Technologies, Inc.",AKAM,
24,"Alaska Air Group, Inc.",ALK,
25,Albemarle Corporation,ALB,
26,Alcoa Inc.,AA,
27,"Alexandria Real Estate Equities, Inc.",ARE,
28,"Alexion Pharmaceuticals, Inc.",ALXN,
29,"Align Technology, Inc.",ALGN,
30,Allegion plc,ALLE,
31,Allergan plc,AGN,Y
32,Alliant Energy Corporation,LNT,
33,Alphabet Inc.,GOOG,
34,Altaba Inc.,AABA,
35,"Altice USA, Inc.",ATUS,
36,"Altria Group, Inc.",MO,
37,"Amazon.com, Inc.",AMZN,
38,Amcor plc,AMCR,
39,Ameren Corporation,AEE,
40,American Airlines Group Inc.,AAL,
41,"American Electric Power Company, Inc.",AEP,
42,American Express Company,AXP,
43,"American International Group, Inc.",AIG,
44,American Tower Corporation,AMT,
45,"American Water Works Company, Inc.",AWK,
46,"Ameriprise Financial, Inc.",AMP,
47,Amgen Inc.,AMGN,
48,Amphenol Corporation,APH,
49,Anadarko Petroleum Corporation,APC,Y
50,"Analog Devices, Inc.",ADI,
51,Andeavor,ANDV,
52,Aon plc,AON,
53,Apartment Income REIT Corp.,AIRC,
54,Apple Inc.,AAPL,
55,"Applied Materials, Inc.",AMAT,
56,Aptiv PLC,APTV,
57,Arch Capital Group Ltd.,ACGL,
58,Archer-Daniels-Midland Company,ADM,
59,Arista Networks Inc,ANET,
60,Arthur J. Gallagher & Co.,AJG,
61,"Assurant, Inc.",AIZ,
62,Atmos Energy Corporation,ATO,
63,"AutoNation, Inc.",AN,
64,"AutoZone, Inc.",AZO,
65,"Autodesk, Inc.",ADSK,
66,"Automatic Data Processing, Inc.",ADP,
67,"AvalonBay Communities, Inc.",AVB,
68,Avery Dennison Corporation,AVY,
69,"Axon Enterprise, Inc.",AXON,
70,"BXP, Inc.",BXP,
71,Baker Hughes Company,BKR,
72,Baker Hughes Holdings LLC,BKR,
73,Ball Corporation,BALL,
74,Bank of America Corporation,BAC,
75,"Bath & Body Works, Inc.",BBWI,
76,Baxter International Inc.,BAX,
77,"Becton, Dickinson and Company",BDX,
78,"Best Buy Co., Inc.",BBY,
79,"Bio-Rad Laboratories, Inc.",BIO,
80,Bio-Techne Corporation,TECH,
81,Biogen Inc.,BIIB,
82,"BlackRock, Inc.",BLK,
83,Blackstone Inc.,BX,
84,Booking Holdings Inc.,BKNG,
85,BorgWarner Inc.,BWA,
86,Boston Scientific Corporation,BSX,
87,"Bread Financial Holdings, Inc.",BFH,
88,"Brighthouse Financial, Inc.",BHF,
89,Bristol-Myers Squibb Company,BMY,
90,Broadcom Corporation,AVGO,
91,Broadcom Inc.,AVGO,
92,"Broadridge Financial Solutions, Inc.",BR,
93,Brookfield Property REIT Inc.,BPYU,
94,"Brown & Brown, Inc.",BRO,
95,Brown-Forman Corporation,BF.A,
96,"Builders FirstSource, Inc.",BLDR,
97,Bunge Global SA,BG,
